"codi_via","codi_carrer_ine","tipus_via","nom_curt","nom_oficial","nre_min","nre_max"
"274301","03110","C","Ramis","Carrer de Ramis","0001","0020"
"202300","02294","C","Mas Yebra","Carrer de Mas Yebra","0001","0015"
"177407","02021","C","Legalitat","Carrer de la Legalitat","0001","0095"
"312808","03512","C","Santa Amèlia","Carrer de Santa Amèlia","0001","0057"
"040005","00445","C","Berga","Carrer de Berga","0001","0042"
"238705","02695","C","Pare Fidel Fita","Carrer del Pare Fidel Fita","0001","0020"
"349706","03934","C","Comte d'Urgell","Carrer del Comte d'Urgell","0001","0300"
"329902","03707","C","Tamarit","Carrer de Tamarit","0068","0195"
"035606","00395","C","Barri Vermell","Carrer del Barri Vermell","0001","0033"
"051806","00568","C","Bordeus","Carrer de Bordeus","0001","0041"
"262007","02974","C","Pons","Carrer de Pons","0001","0023"
"255704","02894","C","Pinar del Río","Carrer de Pinar del Río","0001","0076"
"117609","01350","C","Estudiant","Carrer de l'Estudiant","0001","0058"
"281500","03189","C","Ribelles","Carrer de Ribelles","0001","0049"
"216804","02447","C","Montagut","Carrer de Montagut","0001","0020"
"171900","01958","C","Joan Cortada","Carrer de Joan Cortada","0001","0015"
"278903","03160","C","Remei","Carrer del Remei","0001","0045"
"326857","03673","C","Gespa","Carrer de la Gespa","0001","0039"
"701377","05704","Av","Av Carrilet","Avinguda del Carrilet","0001","0028"
"015904","00173","C","Àngel","Carrer de l'Àngel","0001","0024"
"701480","05808","C","Longitudinal 8","Carrer Longitudinal 8","0001","0115"
"040901","00454","C","Bernat Martorell","Carrer de Bernat Martorell","0001","0085"
"047503","00527","C","Bosc","Carrer del Bosc","0001","0047"
"168701","01921","C","Jordà","Carrer de Jordà","0001","0025"
"237804","02686","C","Pau Ferran","Carrer de Pau Ferran","0001","0049"
"095721","01073","Csta","Csta Perdius","Costa de les Perdius","0001","0008"
"701267","05594","Rda","Rda Dalt (Besòs)","Ronda de Dalt (Besòs)","",""
"204907","02317","C","Matanzas","Carrer de Matanzas","0001","0064"
"328400","03691","C","Sostres","Carrer de Sostres","0001","0039"
"031208","00349","C","Begur","Carrer de Begur","0001","0086"
"056402","00619","C","Cambrils","Carrer de Cambrils","0001","0028"
"072908","00812","C","Castellnou","Carrer de Castellnou","0001","0071"
"201002","02272","C","Marsans i Rof","Carrer de Marsans i Rof","0001","0040"
"311306","03496","Pas","Pas Sant Tarsici","Pas de Sant Tarsici","0001","0004"
"700061","04403","C","Filatures","Carrer de les Filatures","0001","0024"
"700798","05123","C","Pierre Coubertin","Carrer de Pierre de Coubertin","0001","0013"
"069608","00775","C","Can Móra","Carrer de Can Móra","0001","0008"
"030205","00339","Ptge","Ptge Bacardí","Passatge de Bacardí","0001","0002"
"299700","03378","C","Sant Erasme","Carrer de Sant Erasme","0001","0019"
"069903","00780","Ptge","Ptge Can Berdura","Passatge de Can Berdura","0001","0009"
"327204","03678","Bda","Bda Solanell","Baixada de Solanell","0001","0019"
"700714","05042","C","Platí","Carrer del Platí","0001","0008"
"301903","03399","C","Sant Germà","Carrer de Sant Germà","0001","0020"
"150808","01709","C","Grunyí","Carrer de Grunyí","0001","0014"
"153806","01743","Ptge","Ptge Gutenberg","Passatge de Gutenberg","0001","0007"
"085309","00961","Pl","Pl Comercial","Plaça Comercial","0001","0012"
"233031","02631","Ctra","Ctra Observatori F","Carretera de l'Observatori Fabra","0001","0030"
"266100","03014","C","Prat d'en Roquer","Carrer de Prat d'en Roquer","0001","0047"
"080407","00908","Ptge","Ptge Ciutadans","Passatge dels Ciutadans","0001","0019"
"257302","02915","Ptge","Ptge Pintor Tapiró","Passatge del Pintor Tapiró","0001","0008"
"158606","01792","C","Hortes","Carrer de les Hortes","0001","0012"
"235900","02661","C","Orgues","Carrer dels Orgues","0002","0010"
"191601","02170","C","Mandoni","Carrer de Mandoni","0001","0017"
"125709","01441","Camí","Camí Finestrelles","Camí de Finestrelles","0002","0044"
"243400","02746","C","Panamà","Carrer de Panamà","0002","0038"
